id,name,x,y,faction1,faction2,faction3,faction4,indType,factories,polType
126,Ancha,75.470,36.138,DC,Dieron Military District,Al Na'ir Prefecture,null,Other,0,Other
127,Andalusia,391.342,-109.169,FS,Crucis March,Minette Operational Area,Point Barrow Combat Region,Other,0,Other
128,Andarmax,-3.375,-386.492,CC,Sian Commonality,Region 7,null,Other,0,Other
129,Andelys,455.043,-58.519,null,null,null,null,Other,0,Other
130,Andro,144.745,-173.000,FS,Capellan March,Kathil Operational Area,Kathil PDZ,Other,0,Other
131,Andurien,-41.335,-315.245,FWL,Duchy of Andurien,null,null,Minor Industrial,2,Major Capital
132,Anegasaki,-49.375,-216.713,FWL,Duchy of Oriente,null,null,Other,0,Other
133,Anembo,-288.729,314.793,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
134,Angell,-98.231,-84.059,FWL,Marik Commonwealth,null,null,Other,0,Other
135,Angelsey,124.219,-88.218,null,null,null,null,Other,0,Other
136,Angol,87.880,-38.822,FS,Draconis March,Robinson Operational Area,Kentares PDZ,Other,0,Other
137,Angra,390.616,-361.187,null,null,null,null,Other,0,Other
138,Anguilla,411.779,79.279,FS,Draconis March,Woodbine Operational Area,Bryceland PDZ,Other,0,Other
139,Anjin Muerto,586.511,-78.111,FS,Crucis March,Minette Operational Area,Anjin Muerto Combat Region,Other,0,Other
140,Ankaa,74.697,-9.356,FS,Draconis March,Robinson Operational Area,Addicks PDZ,Other,0,Other
141,Ankolika,-217.169,-221.273,FWL,Principality of Regulus,null,null,Other,0,Other
142,Annapolis,164.654,130.745,DC,Benjamin Military District,Irurzun Prefecture,null,Other,0,Other
143,Annunziata,-240.171,358.742,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
144,Annwyn,-297.183,71.295,null,null,null,null,Other,0,Other
145,Antallos,463.228,281.417,I,null,null,null,Other,0,Other
146,Antares,-124.891,297.734,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
147,Antias,-33.238,-385.416,null,null,null,null,Other,0,Other
148,Antietam,330.860,-137.026,FS,Crucis March,Chirikof Operational Area,Remagen Combat Region,Other,0,Other
149,Antipolo,-94.870,-268.848,FWL,null,null,null,Other,0,Other
150,Anywhere,-167.214,436.029,LC,Tamar Pact,Tamar Pact,null,Other,0,Other
151,Aodh,-40.211,-195.324,null,null,null,null,Other,0,Other
152,Aomen,-18.813,-323.119,null,null,null,null,Other,0,Other
153,Aosia,112.622,-141.194,null,null,null,null,Other,0,Other
154,Apinzel,-447.893,113.685,null,null,null,null,Other,0,Other
155,Apolakkia,-116.375,340.389,LC,Tamar Pact,Trellshire,null,Other,0,Other
156,Apollo,-129.641,432.458,LC,Tamar Pact,Trellshire,null,Other,0,Other
157,Apostica,-59.712,155.306,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
158,Apriki,173.189,121.448,DC,Benjamin Military District,Irurzun Prefecture,null,Other,0,Other
159,Apsalar,-121.355,562.115,null,null,null,null,Other,0,Other
160,Aquagea,-56.903,-402.982,null,null,null,null,Other,0,Other
161,Aquavita,-296.538,59.907,null,null,null,null,Other,0,Other
162,Aquileia,-88.444,-27.883,null,null,null,null,Other,0,Other
163,Arboris,43.158,-51.489,CC,Tikonov Commonality,Region 5,null,Other,0,Other
164,Arcadia,253.738,-88.601,null,null,null,null,Other,0,Other
165,Arcadia,-186.342,-8.057,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
166,Arc-Royal,-170.389,226.576,LC,Protectorate of Donegal,District of Donegal,null,Minor Industrial,1,Other
167,Arcturus,-78.068,174.436,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
168,Ardoz,46.260,245.780,DC,Rasalhague Military District,Rubigen Prefecture,null,Other,0,Other
169,Ares,95.382,-173.994,CC,Capella Commonality,Region 4,null,Major Industrial,3,Other
170,Arganda,-154.824,36.138,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
171,Argyle,255.384,-109.174,FS,Crucis March,Markesan Operational Area,New Avalon Combat Region,Other,0,Other
172,Ariel,-115.773,-98.529,FWL,Marik Commonwealth,null,null,Other,0,Other
173,Aristotle,-183.568,65.091,LC,Protectorate of Donegal,Bolan Province,null,Other,0,Other
174,Arkab,77.285,200.800,DC,Benjamin Military District,Buckminster Prefecture,null,Other,0,Other
175,Arlanda,-300.534,380.651,null,null,null,null,Other,0,Other
176,Arlington,212.736,99.733,DC,Galedon Military District,Matsuida Prefecture,null,Other,0,Other
177,Arluna,-281.493,333.921,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
178,Armaxa,106.484,-205.806,CC,St. Ives Commonality,Region 2,null,Other,0,Other
179,Armington,420.819,-303.736,FS,Crucis March,Chirikof Operational Area,Kearny Combat Region,Other,0,Other
180,Armstrong,-488.302,12.607,null,null,null,null,Other,0,Other
181,Arn,-29.949,-419.973,null,null,null,null,Other,0,Other
182,Arnaudville,583.659,36.658,FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ,Other,0,Other
183,Arromanches,431.227,36.681,null,null,null,null,Other,0,Other
184,Artru,165.999,-469.811,AuC,null,null,null,Other,0,Other
185,Arundel,595.209,-121.347,null,null,null,null,Other,0,Other
186,As Samik,346.889,-286.690,FS,Crucis March,Chirikof Operational Area,Islamabad Combat Region,Other,0,Other
187,Ascella,20.928,74.397,DC,Dieron Military District,Al Na'ir Prefecture,null,Other,0,Other
188,Asellus Australis,-100.013,-113.832,FWL,null,null,null,Other,0,Other
189,Asellus Borealis,-100.609,-118.192,FWL,null,null,null,Other,0,Other
190,Asgard,126.654,266.198,DC,Pesht Military District,Kagoshima Prefecture,null,Other,0,Other
191,Ashburton,-263.453,-139.898,FWL,null,null,null,Other,0,Other
192,Ashio,73.565,66.743,DC,Dieron Military District,Ashio Prefecture,null,Other,0,Minor Capital
193,Ashkum,111.924,-101.146,FS,Capellan March,Kathil Operational Area,Valexa PDZ,Other,0,Other
194,Ashley,164.386,-308.391,FS,Capellan March,Taygeta Operational Area,Sirdar PDZ,Other,0,Other
195,Aspropirgos,-119.143,-380.552,FWL,null,null,null,Other,0,Other
196,Asta,4.129,25.543,DC,Dieron Military District,Kessel Prefecture,null,Other,0,Other
197,Asuncion,5.167,-101.640,FWL,Zion Province,null,null,Minor Industrial,1,Other
198,Athenry,17.569,30.974,DC,Dieron Military District,Al Na'ir Prefecture,null,Other,0,Other
199,Athna,-27.056,-354.266,null,null,null,null,Other,0,Other
200,Atlas,157.420,-244.069,FS,Capellan March,Kathil Operational Area,Alcyone PDZ,Other,0,Other
201,Atocongo,-170.880,245.262,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
202,Atreus,-191.068,-163.776,FWL,Marik Commonwealth,null,null,Minor Industrial,1,Faction Capital
203,Atreus Prime,227.712,-373.559,TC,Hyades Union,null,null,Other,0,Other
204,Atria,-16.034,51.650,DC,Dieron Military District,Kessel Prefecture,null,Other,0,Other
205,Atsugi,-201.110,-227.220,FWL,Principality of Regulus,null,null,Other,0,Other
206,Atzenbrugg,-377.644,-176.567,FWL,null,null,null,Other,0,Other
207,Aubisson,4.386,146.514,DC,Dieron Military District,Vega Prefecture,null,Other,0,Other
208,Aucara,176.540,-296.299,FS,Capellan March,Taygeta Operational Area,Altair PDZ,Other,0,Other
209,August,-124.018,-115.591,null,null,null,null,Other,0,Other
210,Augusta,282.265,-99.053,FS,Crucis March,Markesan Operational Area,New Avalon Combat Region,Other,0,Other
211,Augustine,-43.697,-76.821,FWL,Marik Commonwealth,null,null,Other,0,Other
212,Auldhouse,-51.012,139.198,LC,Federation of Skye,Virginia Shire,null,Other,0,Other
213,Aur,-146.796,134.372,LC,Protectorate of Donegal,District of Donegal,null,Other,0,Other
214,Austerlitz,-432.673,306.258,null,null,null,null,Other,0,Other
215,Australia,-304.298,289.472,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
216,Autumn Wind,-167.512,-87.419,FWL,null,null,null,Other,0,Other
217,Avawatz,164.910,-29.514,FS,Crucis March,Markesan Operational Area,Achemar Combat Region,Other,0,Other
218,Avellaneda,-57.652,-82.243,FWL,Marik Commonwealth,null,null,Other,0,Other
219,Avigait,153.018,-275.094,FS,Capellan March,Taygeta Operational Area,Altair PDZ,Other,0,Other
220,Avior,-116.865,-163.191,FWL,Principality of Regulus,null,null,Other,0,Other
221,Avon,150.086,250.796,DC,Pesht Military District,Kagoshima Prefecture,null,Minor Industrial,1,Other
222,Avranches,324.654,102.398,null,null,null,null,Other,0,Other
223,Awano,95.899,160.994,DC,Benjamin Military District,Benjamin Prefecture,null,Other,0,Other
224,Awyron,-265.180,411.661,null,null,null,null,Other,0,Other
225,Axton,127.169,-113.236,FS,Capellan March,Kathil Operational Area,Valexa PDZ,Minor Industrial,1,Other
226,Ayacucho,-403.306,52.938,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
227,Aylmer,-390.827,-141.977,FWL,null,null,null,Other,0,Other
228,Ayn Tarma,-172.466,-302.746,FWL,null,null,null,Other,0,Other
229,Azha,53.764,-51.489,CC,Tikonov Commonality,Region 6,null,Other,0,Other
230,Azur,651.303,257.747,null,null,null,null,Other,0,Other
231,Babaeski,-137.586,307.817,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
232,Babuyan,87.880,223.290,DC,Benjamin Military District,Buckminster Prefecture,null,Other,0,Other
233,Bacum,157.152,-289.260,FS,Capellan March,Taygeta Operational Area,Sirdar PDZ,Other,0,Other
234,Bad News,422.117,195.368,DC,Galedon Military District,Tabayama Prefecture,null,Other,0,Other
235,Badlands,421.692,-354.196,null,null,null,null,Other,0,Other
236,Badlands Cluster,424.959,-349.827,I,null,null,null,Other,0,Other
237,Baggville,-308.210,330.433,null,null,null,null,Other,0,Other
238,Bahl's Retreat,149.799,-163.600,null,null,null,null,Other,0,Other
239,Bainsville,-141.443,-83.285,FWL,null,null,null,Other,0,Other
240,Baker 3,-104.473,324.098,LC,Tamar Pact,Trellshire,null,Other,0,Other
241,Baldur,79.884,188.109,DC,Benjamin Military District,Buckminster Prefecture,null,Other,0,Other
242,Baliggora,590.773,154.367,OA,Baliggora Province,null,null,Other,0,Major Capital
243,Balkan,-32.847,85.031,null,null,null,null,Other,0,Other
244,Ballad,-269.750,-465.071,null,null,null,null,Other,0,Other
245,Ballentine,236.552,21.565,null,null,null,null,Other,0,Other
246,Ballynure,-82.203,246.295,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
247,Balsta,28.935,412.772,DC,Rasalhague Military District,Radstadt Prefecture,null,Other,0,Other
248,Baltar,488.635,-362.600,null,null,null,null,Other,0,Other
249,Bamburgh,607.345,-136.463,null,null,null,null,Other,0,Other
250,Ban Na San,359.813,220.701,DC,Galedon Military District,New Samarkand Prefecture,null,Other,0,Other
251,Bandora,13.177,-177.367,CC,Capella Commonality,Region 2,null,Other,0,Other
252,Banfora,-98.055,-349.684,null,null,null,null,Other,0,Other
253,Bangor,176.540,349.722,DC,Pesht Military District,Bjarred Prefecture,null,Other,0,Other
254,Bannerhoft,550.561,285.392,null,null,null,null,Other,0,Other
255,Banori,494.250,124.118,OA,Ramora Province,null,null,Other,0,Other
256,Barahona,684.662,284.052,null,null,null,null,Other,0,Other
257,Baranda,449.246,-259.031,FS,Crucis March,Chirikof Operational Area,Kearny Combat Region,Other,0,Other
258,Barcelona,-204.780,411.468,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
259,Barlaston,-123.603,-266.570,FWL,null,null,null,Other,0,Other
260,Barlow's End,304.496,63.029,FS,Draconis March,Robinson Operational Area,Dahar PDZ,Other,0,Other
261,Barras,20.917,-354.184,CC,Sian Commonality,Region 8,null,Other,0,Other
262,Barstow,170.602,-40.891,FS,Crucis March,Markesan Operational Area,Achemar Combat Region,Other,0,Other
263,Bartrock,590.654,-148.154,null,null,null,null,Other,0,Other
264,Baruun Urt,105.579,237.731,DC,Benjamin Military District,Xinyang Prefecture,null,Other,0,Other
265,Baryshevo,-350.486,235.443,LC,Protectorate of Donegal,Coventry Province,null,Other,0,Other
266,Basalt,66.163,-29.000,FS,Draconis March,Robinson Operational Area,Addicks PDZ,Other,0,Other
267,Basantapur,364.471,-284.410,FS,Crucis March,Chirikof Operational Area,Islamabad Combat Region,Other,0,Other
268,Basiliano,-36.966,341.425,DC,Rasalhague Military District,Kirchbach Prefecture,null,Other,0,Other
269,Bass,-218.513,-353.602,MOC,null,null,null,Other,0,Other
270,Bassfield,588.832,4.872,FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ,Other,0,Other
271,Bastian,297.261,-160.021,FS,Crucis March,Chirikof Operational Area,Remagen Combat Region,Other,0,Other
272,Bastrop,563.403,61.713,FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ,Other,0,Other
273,Batajnica,-369.912,118.349,LC,Protectorate of Donegal,Alarion Province,null,Other,0,Other
274,Batavia,201.099,-55.363,FS,Crucis March,Markesan Operational Area,Achemar Combat Region,Other,0,Other
275,Battaraigi,-193.914,495.747,null,null,null,null,Other,0,Other
276,Baxley,432.196,-150.010,FS,Crucis March,Minette Operational Area,Point Barrow Combat Region,Other,0,Other
277,Baxter,-31.288,112.658,LC,Federation of Skye,Virginia Shire,null,Other,0,Other
278,Bayeux,551.924,-52.639,null,null,null,null,Other,0,Other
279,Bayindir,-242.749,-296.299,FWL,null,null,null,Other,0,Other
280,Bayis,-254.159,166.531,null,null,null,null,Other,0,Other
281,Beaumont,583.944,39.755,FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ,Other,0,Other
282,Beauvais,-500.213,204.073,null,null,null,null,Other,0,Other
283,Beckars,-510.097,128.988,null,null,null,null,Other,0,Other
284,Bedeque,-124.593,-77.338,FWL,Stewart Commonality,null,null,Other,0,Other
285,Beecher,183.783,-50.201,FS,Crucis March,Markesan Operational Area,Achemar Combat Region,Other,0,Other
286,Beenleigh,183.783,-268.848,FS,Capellan March,Taygeta Operational Area,Altair PDZ,Other,0,Other
287,Beid,124.585,-243.766,FS,Capellan March,Kathil Operational Area,Alcyone PDZ,Other,0,Other
288,Beils,155.176,190.344,null,null,null,null,Other,0,Other
289,Belacruz,378.019,179.122,null,null,null,null,Other,0,Other
290,Belaire,334.489,-274.300,FS,Crucis March,Chirikof Operational Area,Islamabad Combat Region,Other,0,Other
291,Belamor,61.806,-293.804,null,null,null,null,Other,0,Other
292,Bell,104.163,-109.868,FS,Capellan March,Kathil Operational Area,Valexa PDZ,Other,0,Other
293,Bell,535.241,221.311,null,null,null,null,Other,0,Other
294,Bella,-259.291,-44.251,FWL,null,null,null,Other,0,Other
295,Belladonna,262.877,-124.637,FS,Crucis March,Markesan Operational Area,New Avalon Combat Region,Minor Industrial,1,Other
296,Bellatrix,54.279,-351.609,CC,Sian Commonality,Region 9,null,Other,0,Other
297,Bellevue,328.026,-57.682,FS,Crucis March,Markesan Operational Area,Kestrel Combat Region,Other,0,Other
298,Belluevue,-0.030,-79.895,null,null,null,null,Other,0,Other
299,Benedict,473.290,-11.428,FS,Draconis March,Woodbine Operational Area,Mayetta PDZ,Other,0,Other
300,Benet,262.877,58.113,FS,Draconis March,Robinson Operational Area,Raman PDZ,Other,0,Other
301,Benfled,-72.905,260.773,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
302,Benjamin,123.977,134.529,DC,Benjamin Military District,Benjamin Prefecture,null,Other,0,Major Capital
303,Bensinger,-128.757,444.564,LC,Tamar Pact,Trellshire,null,Other,0,Other
304,Bentley,-6.984,-233.761,CC,Sian Commonality,Region 1,null,Other,0,Other
305,Beowulf,-124.146,507.223,null,null,null,null,Other,0,Other
306,Berenson,-13.703,-71.133,FWL,null,null,null,Other,0,Other
307,Bergman's Planet,265.979,74.914,FS,Draconis March,Robinson Operational Area,Raman PDZ,Other,0,Other
308,Bergtatt,117.216,-375.025,null,null,null,null,Other,0,Other
309,Bernardo,-21.207,-94.595,FWL,null,null,null,Minor Industrial,1,Other
310,Bessarabia,-25.605,276.803,LC,Tamar Pact,Tamar Domains,null,Other,0,Other
311,Beta,-154.824,384.330,LC,Tamar Pact,Trellshire,null,Other,0,Other
312,Beta Mensae,317.163,129.199,DC,Galedon Military District,Kaznejoy Prefecture,null,Other,0,Other
313,Beta Regulus,-201.451,276.407,null,null,null,null,Other,0,Other
314,Betelgeuse,5.674,-306.903,CC,Sian Commonality,Region 6,null,Minor Industrial,1,Other
315,Beten Kaitos,167.162,-112.913,FS,Capellan March,Kathil Operational Area,Kathil PDZ,Other,0,Other
316,Bethel,140.619,-184.105,FS,Capellan March,Kathil Operational Area,Kathil PDZ,Other,0,Other
317,Bethonolog,-187.952,-357.999,MOC,null,null,null,Other,0,Other
318,Bettendorf,264.949,25.801,FS,Draconis March,Robinson Operational Area,Dahar PDZ,Other,0,Other
319,Bex,32.245,-46.081,null,null,null,null,Other,0,Other
320,Bhaktapur,24.475,-78.520,null,null,null,null,Other,0,Other
321,Bharat,58.927,-41.666,CC,Tikonov Commonality,Region 6,null,Other,0,Other
